47, 2, 952, 148, 1097, 350
48, 0, 64, 133, 82, 222
48, 1, 379, 309, 451, 338
48, 2, 468, 215, 672, 357
48, 3, 977, 254, 1109, 358
49, 0, 49, 73, 129, 221
49, 1, 348, 211, 740, 347
49, 2, 903, 57, 1193, 187
49, 3, 998, 252, 1192, 348
50, 0, 35, 137, 193, 217
50, 1, 448, 313, 501, 336
50, 2, 604, 200, 674, 308
50, 3, 992, 268, 1151, 352
51, 0, 24, 65, 166, 220
51, 1, 452, 199, 772, 353
51, 2, 944, 39, 1073, 120
51, 3, 987, 248, 1157, 356
52, 0, 12, 17, 133, 226
52, 1, 368, 196, 802, 358
52, 2, 958, 15, 1080, 106
52, 3, 1021, 233, 1145, 336
52, 4, 1079, 336, 1175, 358
53, 0, 12, 16, 131, 258
53, 1, 432, 215, 774, 365
53, 2, 922, 20, 1143, 157
53, 3, 1029, 250, 1183, 329
54, 0, 16, 74, 153, 234
54, 1, 551, 275, 687, 362
54, 2, 685, 201, 763, 218
54, 3, 1048, 255, 1166, 315
54, 4, 1049, 28, 1158, 196
55, 0, 572, 308, 697, 363
55, 1, 1115, 254, 1216, 363
55, 2, 1101, 40, 1158, 206
56, 0, 19, 32, 158, 223
56, 1, 588, 264, 697, 366
56, 2, 1006, 22, 1212, 99
56, 3, 1136, 108, 1229, 284
57, 0, 696, 220, 744, 364
57, 1, 592, 341, 642, 363
57, 2, 992, 14, 1040, 79
57, 3, 1132, 21, 1209, 131
58, 0, 38, 126, 182, 183
58, 1, 588, 258, 751, 365
58, 2, 890, 13, 1214, 201
59, 0, 46, 48, 88, 135
59, 1, 547, 269, 776, 364
59, 2, 1020, 168, 1184, 354
59, 3, 944, 26, 1225, 146
60, 0, 528, 288, 794, 361
60, 1, 1017, 180, 1231, 330
60, 2, 1064, 13, 1213, 137
61, 0, 52, 65, 113, 212
61, 1, 340, 287, 694, 352
61, 2, 730, 257, 845, 359
61, 3, 1007, 131, 1189, 354
61, 4, 969, 23, 1225, 136
62, 0, 341, 297, 443, 354
62, 1, 538, 303, 660, 351
62, 2, 1028, 130, 1213, 345
62, 3, 1042, 20, 1182, 123
63, 0, 589, 307, 671, 333
63, 1, 850, 264, 885, 345
63, 2, 1067, 179, 1211, 346
63, 3, 1048, 15, 1185, 139
64, 0, 535, 263, 950, 354
64, 1, 1053, 126, 1205, 346
64, 2, 991, 13, 1209, 109
65, 0, 634, 308, 751, 342
65, 1, 879, 184, 1195, 347
65, 2, 1026, 17, 1044, 74
65, 3, 1114, 12, 1212, 106
66, 0, 400, 307, 459, 348
66, 1, 1067, 220, 1217, 332
66, 2, 1181, 324, 1199, 361
66, 3, 1088, 12, 1225, 196
67, 0, 1079, 256, 1207, 350
