285, 1, 98, 180, 308, 332
288, 0, 15, 70, 89, 141
291, 0, 17, 78, 95, 148
291, 1, 108, 178, 319, 329
294, 0, 29, 117, 82, 139
294, 1, 166, 199, 266, 239
297, 0, 67, 119, 87, 140
300, 0, 17, 72, 46, 92
303, 0, 135, 184, 335, 334
315, 0, 16, 69, 87, 140
318, 0, 19, 60, 69, 141
321, 0, 15, 62, 46, 83
324, 0, 224, 121, 266, 132
327, 0, 20, 119, 62, 150
327, 1, 21, 289, 32, 321
327, 2, 174, 178, 384, 330
330, 0, 14, 30, 44, 61
330, 1, 440, 378, 520, 449
333, 0, 165, 200, 236, 241
333, 1, 236, 180, 376, 321
336, 0, 461, 425, 503, 464
339, 0, 53, 13, 226, 45
339, 1, 448, 370, 532, 464
342, 0, 86, 10, 209, 47
342, 1, 445, 392, 553, 471
345, 0, 129, 14, 285, 52
345, 1, 473, 370, 530, 465
348, 0, 90, 13, 269, 61
348, 1, 451, 369, 507, 464
351, 0, 66, 27, 164, 60
351, 1, 191, 12, 251, 32
351, 2, 455, 370, 489, 463
354, 0, 39, 11, 238, 107
354, 1, 408, 374, 485, 462
357, 0, 70, 13, 195, 129
357, 1, 355, 373, 485, 470
360, 0, 38, 16, 198, 92
360, 1, 85, 90, 186, 131
360, 2, 372, 367, 475, 440
363, 0, 21, 15, 189, 115
363, 1, 150, 94, 184, 115
363, 2, 368, 362, 477, 440
366, 0, 94, 19, 161, 43
366, 1, 380, 388, 403, 407
369, 0, 37, 18, 156, 61
369, 1, 331, 366, 382, 418
372, 0, 94, 11, 175, 43
372, 1, 320, 368, 396, 400
375, 0, 79, 18, 177, 39
378, 0, 87, 17, 152, 37
378, 1, 196, 357, 356, 411
381, 0, 23, 15, 185, 37
381, 1, 41, 84, 95, 115
384, 0, 21, 11, 161, 37
387, 0, 18, 11, 186, 39
387, 1, 44, 102, 113, 113
387, 2, 182, 364, 233, 418
390, 0, 22, 12, 115, 40
390, 1, 212, 370, 239, 422
393, 0, 18, 18, 109, 31
393, 1, 125, 363, 222, 444
393, 2, 165, 453, 226, 464
393, 3, 402, 350, 440, 373
399, 0, 37, 17, 84, 42
